target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
"Tillamook County & Tillamook County Sheriff’s Office, Tillamook County";Safety;Oregon;"Unknown, Malware";1/24/2020;"OPBJanuary 24th, 2020County government website, computers, and phones all taken out by cyberattackOfficials stated that all departments county-wide had been affectedPrivate data and personal information remained safe despite attacksRead More";https://www.opb.org/news/article/cyberattack-tillamook-county-oregon-computer-systems/;https://www.tillamooksheriff.com/;Y;Sectigo;sha256;low;1;2020
"City of St. Helens & St. Helens Police Department, Columbia County";Safety;Oregon;"Unknown, Malware";1/22/2020;"The Chronicle OnlineJanuary 22nd, 2020Police department, city hall, library and many others victim of cyberattackPhone systems and emails remained offline following malware hitEmergency dispatch and 911 remained active despite attackRead More";https://www.thechronicleonline.com/news_paid/systems-down-city-still-offline/article_bcc8d9a4-3d28-11ea-9559-b33cb1bdeb7d.html;https://www.sthelensoregon.gov/police;Y;R3;sha256;med;1;2020
"Crook Counry Sheriff's Office Jail Website, Crook County";Safety;Oregon;"Hacking, Other: Website Defacement";8/4/2019;"KTVZ August 4th, 2019 Visitors to the government website had noticed a note stating that it was hacked by Iranian hackers It was another hacktivist group that boasted on its anti-government stance The hack had not affected any major operations of the Sheriff’s office and acts more as a nuisance to be fixed Read More";"https://www.ktvz.com/news/crook-county-websites-knocked-out-by-hackers/1104635629,";https://co.crook.or.us/sheriff;Y;R3;sha256;med;8;2019
"North Bend Police Department & City of North Bend, Coos County";Safety;Oregon;Ransomware;12/7/2018;"The World LinkDecember 7th, 2018Hackers targeted North Bend Police Department with ransomwareRansom note demanded $50,000 in BitcoinThe malware spread to the City of North Bend’s serverTwo encryption keys were necessary to unlock all systemsFBI traced ransomware back to Romania but the identity of the hackers remains unknownRead More";"https://theworldlink.com/news/local/north-bend-computer-systems-fall-victim-to-ransomware/article_78ba3e86-8a56-516f-b64a-2ac35a8f2fd9.html,";https://www.northbendoregon.us/pview.aspx?id=21065&catid=25;Y;R3;sha256;med;12;2018
"Delaware County and Delaware County PD, Delaware County";Safety;Pennsylvania;"Unknown, Ransomware";11/25/2020;"Philadelphia CBS localNovember 25th, 2020Delaware county's computer systems were downed after attack from hackersA ransom is demanded to give up control of computer networkThe county cannot access police reports payroll and other databases and filesRead More";https://philadelphia.cbslocal.com/2020/11/25/part-of-delaware-county-computer-system-down-after-attacked-by-hackers;https://www.delawarecountysheriff.org/;Y;R3;sha256;med;11;2020
"Millcreek Township and Millcreek PD, Erie County";Safety;Pennsylvania;"Unknown, Ransomware";9/25/2020;"Erie News NowSeptember 25th, 2020The township released publicly that it was the victim of a cyber attackInvestigations show it to be a ransomware based attackBad actors demanded over $250,000 in ransom leading FBI to launch investigationsRead More";https://www.erienewsnow.com/story/42683939/millcreek-township-confirms-computer-system-hacked-erie-news-now-uncovers-township-hit-by-ransomware-attack;https://millcreektownship.com/182/Police;Y;Sectigo;sha256;med;9;2020
"Luzerne County Government Systems & Sheriff's Office, Luzerne County";Safety;Pennsylvania;"Phishing, Malware";5/29/2019;"Times Leader May 29th, 2019 Luzerne County hit with cyber attack via e-mail attachment that shut down several servers 911 department and emergency management agency unaffected due to utilizing isolated servers Officials were unsure when exactly the virus had infected the system, likely remained dormant for some timeRead More";https://www.timesleader.com/news/745462/luzerne-county-government-addressing-cyber-attack;https://www.luzernecounty.org/529/Sheriff;Y;Cloudflare;sha256;med;5;2019
"Chester County Government & 911 Dispatch, Chester County";Safety;Pennsylvania;Malware;2/19/2019;"Patch February 19th, 2019 Online systems and dispatch were rendered offline in weekend attackChester County Government has put in full effort to resolve issuesOnline services are still impacted as progress is being madeRead More";https://patch.com/pennsylvania/westchester/malware-attacks-chester-county-government-online-services;https://www.chesco.org/217/Emergency-Services;Y;Cloudflare;sha256;high;2;2019
City of Allentown;Safety;Pennsylvania;Hack;2/20/2018;"The Morning CallFebruary 20th, 2018Malware infects system Shuts down financial & public safety operations Estimated $1M for removal of malware PD cannot access databases controlled by PA state policeRead More";http://www.mcall.com/news/breaking/mc-nws-allentown-computer-virus-20180220-story.html;https://www.allentownpa.gov/Police;Y;GoDaddy;sha256;med;2;2018
Mt. Holly Springs PD;Safety;Pennsylvania;Ransomware;10/3/2016;"ABC 27October 3rd, 2016Email from “FedEx” leads to exploitation of computer services Hackers demanded $500 in bitcoin Computer was not set up to general server None of the files lost were vital Read More";http://www.abc27.com/news/mount-holly-springs-police-fall-victim-to-cyber-attack/1037275431;https://www.mhsboro.org/police;Y;R3;sha256;med;10;2016
"Town of Greenwich & East Greenwich Police Department, Kent County";Safety;Rhode Island;"Unknown, Ransomware";12/8/2019;"East Greenwich News December 8th, 2019 Town computer systems taken offline after ransomware cyberattack IT officials and third party vendor worked to mitigate losses Town utilized redundant systems such as backup servers, losses were minimal Read More";https://eastgreenwichnews.com/town-hit-by-ransoware-system-shut-down-to-limit-damage/;http://www.eastgreenwichri.com/167/Police-Department;N;NA;NA;low;12;2019
"Pawtucket Fire Department, Providence County";Safety;Rhode Island;"Unknown, Ransomware";6/8/2019;"Providence Journal June 8th, 2019 The fire department began to experience difficulties in their systems and are attempting to rectify the issueAdditional resource were needed as they were brought in to help with the challenges this posesRead More";"https://www.providencejournal.com/news/20190608/pawtucket-fire-experiencing-technical-difficulties-working-to-correct-issue,";https://usfiredept.com/city-pawtucket-fire-department-4540.html;Y;Cloudflare;sha256;low;6;2019
Rhode Island State Police;Safety;Rhode Island;Ransomware;8/23/2016;"Gov TechAugust 23rd, 2016Hackers threaten to permanently encrypt years of data More than 30 cyber experts worked on this case Beat the hackers by saving files Read More";http://www.govtech.com/security/Rhode-Islands-Cyber-Disruption-Team-Wants-to-Work-with-Businesses-to-Fend-Off-Hackers.html;NA;NA;NA;NA;low;8;2016
"Bluffton Township Fire District, Beaufort County";Safety;South Carolina;"Unknown, Ransomware";3/19/2020;"Fox 28 MediaMarch 19th, 2020Nearly seven months worth of data frozen in cyberattackIT personnel restored data with help from National GuardFire personnel noticed computer systems operating slowerRead More";"https://fox28media.com/news/local/bluffton-township-fire-district-victim-of-cyber-attack,";https://blufftonfd.com/;Y;GoDaddy;sha256;low;3;2020
"Jasper County Computer Systems, Jasper County";Safety;South Carolina;"Unknown, Ransomware";10/15/2019;"WTOCOctober 15th, 2019Jasper County, South Carolina hit with ransomware cyberattackSheriff's office forced to enter data from when systems were downFBI and local authorities investigated attack, cost for fix remained unreportedRead More";https://www.wtoc.com/2019/10/15/county-computers-attacked-by-ransomware-jasper-county/;https://www.co.jasper.tx.us/page/jasper.Sheriff;Y;R3;sha256;med;10;2019
"City of Lancaster, Lancaster Dispatcher, Lancaster County";Safety;South Carolina;"Phishing, Malware";12/18/2018;"The Lancaster NewsDecember 18th, 2018 City’s email server compromised, suspicious emails sent out via the municipal court and a dispatcherEmails contained malicious attachmentCounty has blocked email from City officialsRead More";https://www.thelancasternews.com/content/city-investigating-email-server-breach;https://cityoflancasterpa.com/;Y;R3;sha256;low;12;2018
Mt. Pleasant PD;Safety;South Carolina;Ransomware;12/14/2016;"The Post and CourierDecember 14th, 2016Ransomware traced to email account Isolated two infected computers Department restored files through backups Read More";https://www.postandcourier.com/news/mount-pleasant-police-department-hit-with-ransomware-cyberattack/article_40875fb4-c233-11e6-97cf-bf33fcb6f361.html;https://www.tompsc.com/166/Police;Y;R3;sha256;low;12;2016
"South Dakota Department of Public Safety’s Fusion Center, Hughes County";Safety;South Dakota;"Hacking, Data Breach";8/20/2020;"Keloland Media GroupAugust 20th, 2020Private information compromised after data center was hit in cyberattackOfficials believed banking and Social Security numbers remained secureLaw enforcement notified of the attack, officials cooperating with investigationRead More";https://www.keloland.com/news/investigates/massive-data-breach-affects-sd-covid-19-patients/;https://dps.sd.gov/safety-enforcement/homeland-security/fusion-center;Y;R3;sha256;med;8;2020
"Hutchinson County & Hutchinson County Sheriff’s Office, Hutchinson County";Safety;South Dakota;"Unknown, Ransomware";5/15/2019;"Yankton May 15th, 2019 Hutchinson County attacked by ransomware virus Ryuk, likely from foreign assailants Most courthouse functions were affected for over a week, including government accounts Two departments were unaffected as they were isolated from the serverRead More";https://www.yankton.net/community/article_43375b3e-7789-11e9-9c3b-b7ca09b7892d.html;https://www.hutchinsonsherifftx.org/;Y;Network Solutions;sha256;med;5;2019
"City of Knoxville, Knoxville Police & Fire Department Computer Systems, Knox County";Safety;Tennessee;"Unknown, Ransomware";6/11/2020;"WBIRJune 11th, 2020The city's network was hit by ransomware causing a shutdown and investigations to start upOfficers were resorting to pen and paper methods to fill out reports but the computer network was inaccessibleEmails were also affected making communication between personal to be difficultRead More";https://www.wbir.com/article/news/local/city-of-knoxville-computer-network-hit-by-ransomware-attack/51-3302a2bd-8e1f-4387-bf81-a387d20087da;https://knoxvilletn.gov/government/city_departments_offices/fire_department;Y;SSL.com;sha256;low;6;2020
"Lawrence County Sheriff’s Office, Lawrence County";Safety;Tennessee;"Unknown, Ransomware";4/28/2020;"FOX 17April 28th, 2020Ransomware used by bad actors in cyberattackCounty Sheriff's Office E-911 system was hitCAD and license plate checks among affected systemsRead More";"https://fox17.com/news/local/lawrence-county-sheriffs-department-e-911-system-attacked-by-computer-virus,";https://www.lawrencecountysheriffsoffice.com/;Y;R3;sha256;med;4;2020
"Coffee County Sheriff’s Department & Jail, Coffee County";Safety;Tennessee;"Unknown, Ransomware";4/6/2020;"On Target NewsApril 6th, 2020 County jail was victim of ransomware cyberattack State law enforcement agencies assisted with investigation Arrest, booking, and sentencing records were locked Read More";https://ontargetnews.com/coffee-county-jail-dealing-with-cyber-and-ransomware-attack/;https://www.coffeeso.us/;Y;Network Solutions;sha256;med;4;2020
Spring Hill City & 911;Safety;Tennessee;Ransomware;11/8/2017;"WKRNNovember 8th, 2017Starts as a city hack Employee opens infected email Hackers demand $250,000 Dispatchers most affected, writing info on notepadsRead More";"http://www.wkrn.com/news/cyberattack-hits-city-of-spring-hills-computer-system/1077004235,";https://www.springhilltn.org/227/Police;Y;Sectigo;sha256;med;11;2017
Henry County 911 Systems;Safety;Tennessee;Ransomware;7/19/2017;"Paris Post IntelligencerJuly 19th, 2017Department of Homeland Security named Henry County as one of many cyber attacks Virus infected the Computer Aided Dispatch System Dispatchers could take calls, not locations Passwords of computer programs not strong enough Read More";http://www.parispi.net/news/local_news/article_b8941e24-6cb1-11e7-8821-abac5e9986bd.html;NA;NA;NA;NA;;7;2017
Murfreesboro Police & Fire Dept. Hit;Safety;Tennessee;Ransomware;7/5/2017;"The TennesseanJuly 5th, 2017WannaCry ransomware 19 computers and 2 file servers were down Most affected data is not retrievable, however no significant files lost Read More";https://www.tennessean.com/story/news/crime/2017/07/05/murfreesboro-police-fire-computers-infected-virus/453774001/;https://www.murfreesborotn.gov/1781/Police;Y;Sectigo;sha256;med;7;2017
Dickson Sheriff’s Office Pays Ransom;Safety;Tennessee;Ransomware;11/11/2014;"The TennesseanNovember 11th, 2014Read More";https://www.tennessean.com/story/news/local/dickson/2014/11/11/dickson-sheriffs-office-pays-ransom-cyber-criminals/18868325/;https://www.dicksoncountysheriff.org/;Y;Sectigo;sha256;low;11;2014
"The Austin Regional Intelligence Center, Travis County";Safety;Texas;"Hacking, Data Breach";6/22/2020;"WiredJune 22nd, 2020Over one million sensitive law enforcement files were released following cyberattackBad actors dumped a collection of 269 gigabytes of dataOfficials advised that much of the information originated in law enforcement fusion centersRead More";https://www.wired.com/story/blueleaks-anonymous-law-enforcement-hack;https://www.austintexas.gov/department/austin-regional-intelligence-center;Y;Globalsign;sha256;med;6;2020
"University of Texas at Arlington Law Enforcement Officer Data, Tarrant County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://police.uta.edu/public-info/annual-reports/;Y;Incommon RSA;sha256;med;7;2020
"Irving Law Enforcement Officer Data, Dallas County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://www.cityofirving.org/662/Police;Y;Cloudfare;sha256;med;7;2020
"Arlington Law Enforcement Officer Data, Tarrant County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://www.arlingtontx.gov/city_hall/departments/police;Y;Cloudfare;sha256;med;7;2020
"Fort Worth Law Enforcement Officer Data, Tarrant County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://police.fortworthtexas.gov/;Y;DigiCert ;sha256;med;7;2020
"Saginaw Law Enforcement Officer Data, Tarrant County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://ci.saginaw.tx.us/104/Police;Y;Sectigo;sha256;med;7;2020
"Tarrant County Constables, Tarrant County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://www.tarrantcounty.com/en/constables.html;Y;Sectigo;sha256;low;7;2020
"Fort Worth Federal Marshals, Tarrant County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://www.usmarshals.gov/district/tx-n/locations/index.html;Y;Entrust;sha256;low;7;2020
"Texas Department of Public Safety, Travis County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://www.dps.texas.gov/;Y;Amazon;sha256;high;7;2020
"Hood County Sheriff’s Office, Hood County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://www.co.hood.tx.us/67/Sheriff;Y;Go Daddy;sha256;med;7;2020
"Memorial Villages Police Department, Harris County";Safety;Texas;"Hacking, Data Breach";7/24/2020;"GoverningJuly 24th, 2020200 police departments were victim of massive data breachCyberattack revealed detailed private information such as names, phone numbers, addressesBad actors gleaned potentially-damaging information from thousands of homesRead More";https://www.governing.com/security/200-Police-Department-Fusion-Centers-Hacked-in-June.html;https://www.mvpdtx.org/default.aspx?menuitemid=14&AspxAutoDetectCookieSupport=1;Y;R3;sha256;low;7;2020
"Cooke County Sheriff's Office, Cooke County";Safety;Texas;"Unknown, Ransomware";7/6/2020;"Gainesville Daily RegisterJuly 6th, 2020Sheriff's office was victim of Independence Day cyberattackBad actors shared screenshots of sensitive data on the dark webHackers threatened to release the data within seven daysRead More";"https://www.gainesvilleregister.com/news/local_news/breaking-sheriffs-office-hit-by-cyberattack/article_8b62e2ca-bfa9-11ea-8d0d-3f80e5109611.html,";https://www.co.cooke.tx.us/page/cooke.Sheriff;Y;R3;sha256;low;7;2020
"City of Austin Government & Police Department Websites, Travis County";Safety;Texas;"Hacking, Other";6/4/2020;"KXANJune 4th, 2020City government website was taken out in cyberattackAustin police department's systems remained operationalHacker group Anonymous laid claim to the defacementRead More";https://www.kxan.com/news/local/austin/city-of-austin-websites-down-hackers-anonymous-taking-credit;https://www.austintexas.gov/department/police;Y;Globalsign;sha256;low;6;2020
"City of Robstown Police Department, Nueces County";Safety;Texas;"Hacking, Ransomware";9/13/2019;"Caller September 13th, 2019 Robstown Police Department victim of ransomware cyber attack, among 22 others hit across Texas IT officials confirmed that the majority of ransomed data had been recovered Data taken included evidence such as videos and photos, in addition to reports for investigationsRead More";https://www.caller.com/story/news/crime/2019/09/13/robstown-police-evidence-reports-lost-during-data-breach/2315030001/;https://www.countyoffice.org/tx-nueces-county-police-department/;Y;R3;sha256;med;9;2019
"Vernon Police Department, Wilbarger County";Safety;Texas;"Unknown, Ransomware";8/20/2019;"Texomas August 20th, 2019 Vernon Police Department among victims of Texas-wide ransomware attack Vernon Police Chief stated that the shutdown made the department revert to older record-keeping methods Department's master main files were unavailable and officers were required to take extra time filing paper reports Read More";https://www.texomashomepage.com/news/local-news/hacker-targets-two-texoma-government-entities;https://www.co.wilbarger.tx.us/page/wilbarger.Sheriff;Y;R3;sha256;med;8;2019
"Graham Police Department, Young County";Safety;Texas;"Unknown, Ransomware";8/20/2019;"Graham Leader August 20th, 2019 Graham Police Department was among more than 20 agencies attack with ransomware in Texas Texas DIR believed only a single bad actor had been involved in the coordinated attacks Young County Sheriff confirmed that one of GPD's servers had been taken out with another being ransomed for $5,0,000 Read More";https://www.grahamleader.com/news/cyber-attack-hits-gpd-friday;https://www.co.young.tx.us/page/young.Sheriff;Y;R3;sha256;med;8;2019
"Bonham Police Department, Fannin County";Safety;Texas;"Unknown, Ransomware";8/20/2019;"KXII August 20th, 2019 Bonham Police was among 22 other victims in coordinated ransomware cyber attack in Texas Bonham Police Chief confirmed department had been hit in attack Officials confirmed that personal information had not been compromised Read More";"https://www.kxii.com/content/news/Local-governments-on-edge-after-state-wide-coordinated-ransomware-attack-554989871.html,";https://www.co.fannin.tx.us/page/fannin.Sheriff;Y;R3;sha256;med;8;2019
"Robertson County Sheriff's Office, Robertson County";Safety;Texas;"Unknown, Ransomware";8/21/2019;"KBTX August 21st, 2019 Sheriff's Office victim in cyber attack that hit more than 20 entities in Texas Officials advised that computers remained unaffected and that impact was minimal Officials did not state whether a ransom had been paid to the attackers Read More";"https://www.kbtx.com/content/news/Local-IT-departments-on-alert-as-agencies-including-Robertson-County-Sheriffs-Office-hacked-557926521.html,";https://www.robertsoncountysherifftx.org/;Y;Network Solutions;sha256;low;8;2019
"City of Wilmer & City of Wilmer Police Department, Dallas County";Safety;Texas;"Unknown, Ransomware";8/21/2019;"CBS Local August 21st, 2019 IT experts worked around the clock to restore the Police Department, Water Department, and Library systems The city of Wilmer is only just one of many cities facing a widespread ransom attack encrypting all files It was estimated that restoration of nominal operations could be weeks away Read More";https://dfw.cbslocal.com/2019/08/21/dallas-county-city-wilmer-operating-ransomware-attack/;https://www.cityofwilmer.net/157/Police-Department;Y;Sectigo;sha256;low;8;2019
"Jackson County Government Systems, Jackson County Sheriff’s Office";Safety;Texas;"Phishing, Ransomware";6/30/2019;"Victoria Advocate June 30th, 2019 Services were still down to using pen and paper following the cyber attack holding their systems for ransomIt is assumed that the hackers were able to gain access through a phishing scheme, they were unwilling to pay ransomAs other options are being looked into the Sheriff’s office had continued to rely on pen and paper reportsRead More";https://www.victoriaadvocate.com/counties/jackson/hackers-hold-jackson-county-computers-ransom-for-undisclosed-amount-of/article_046e6d1e-8316-11e9-97be-b70449000d28.html;https://www.jacksoncountysheriff.org/Home;Y;R3;sha256;low;6;2019
"Potter County Government Systems, Potter Co.";Safety;Texas;Unknown/Malware;4/22/2019;"My High Plains April 22nd, 2019 Potter county is working to remove a virus that hit its systemsData is left encrypted after the attack, early voting is not affected and will continue as normalThe district has made efforts to isolate the virus so that it doesn’t spreadRead More";"https://www.myhighplains.com/news/local-news/officials-potter-county-computer-virus-not-affecting-early-voting/1945442527,";https://www.co.potter.tx.us/;Y;R3;sha256;med;4;2019
"Fisher County Sheriff’s Office, Fisher County";Safety;Texas;"Phishing, Ransomware";3/29/2019;"Double Mountain March 29th, 2019 The sheriff’s office fell victim to a phishing attack on their email systems Several files were held in ransom kept out of reach for the sheriff’s office No demands were paid and the full damage of the attack is being looked into Read More";"https://www.fishercountychronicle.com/articles/2019/03/29/fisher-county-sheriff%E2%80%98s-office-network-held-ransom,";https://www.fishercounty.org/page/fisher.Sheriff;Y;R3;sha256;med;3;2019
"City of Lancaster Emergency Outdoor Warning Sirens, Dallas County";Safety;Texas;"Hacking, Other";3/12/2018;"Dallas NewsMarch 12th, 2018 Officials state hacker activated tornado warning sirens within the cityIncident initially described as a malfunction, discovered to be person with hostile intent City officials advised that technical experts would be consulted, law enforcement investigatingRead More";https://www.dallasnews.com/news/weather/2019/03/12/sirens-blare-glitch-warning-system-awakens-residents-lancaster-desoto;https://www.lancaster-tx.com/1302/Warning-Sirens;Y;Sectigo;sha256;low;3;2018
"Bexar County Sheriff’s Office, Bexar County";Safety;Texas;"Hacking, Other";1/29/2019;"Fox San Antonio January 29th, 2019 FBI appeared at Bexar Jail after it appeared to be hackedSeveral thousand pieces of hardware were checked for any evidence of tamperAlmost 40,0,000 files have been scannedRead More";https://foxsanantonio.com/news/local/bexar-county-election-hacked;https://www.bexar.org/600/Sheriffs-Office;Y;Cloudfare;sha256;med;1;2019
"Lamar County Sheriff's Department, Lamar County";Safety;Texas;"Hacking, Ransomware";1/10/2019;"ZD NetJanuary 10th, 2019The malware infiltrated through remote desktop in a series of attacks Services were down for the Sheriff’s office Stored data became encrypted from the ransomwareRead More";https://www.zdnet.com/article/what-happens-when-the-cops-get-hit-with-malware-too;https://www.lamarcountysheriff.com/;Y;Sectigo;sha256;low;1;2019
City of Dallas & Dispatch System;Safety;Texas;Virus;2/5/2018;"Dallas NewsFebruary 5th, 2018Virus slowed down/shut down multiple city services Impacted Computer Aided Dispatch system Outages continued for 2 days – dispatch restored at 5:30pm the first day Read More";https://www.dallasnews.com/news/dallas/2018/02/05/virus-attacks-dallas-computer-system-slowing-services;https://dallascityhall.com/departments/fire-rescue/Pages/ems-communications-bureau.aspx;Y;Go Daddy;sha256;med;2;2018
Columbus Police Department;Safety;Texas;Hack;5/30/2017;"Colorado County CitizenMay 30th, 2017Catastrophic computer failure as servers went down Affected in-car & body camera system, internal/external email, & accident reporting system Columbus did not have its own IT contractor prior to incident Implementing security measures as precautionRead More";"http://www.coloradocountycitizen.com/news/article_d50c5734-4573-11e7-85a1-6f5896362b4b.html,";https://www.columbus.gov/police/;Y;DigiCert ;sha256;low;5;2017
Malfunction of 156 Outdoor Dallas sirens;Safety;Texas;Hack;4/9/2017;"Route 50April 9th, 2017911 systems flooded with phone calls Hack came from within Dallas Public announcement to citizens advising not to call 911 about siren concern Read More";http://www.routefifty.com/public-safety/2017/04/dallas-emergency-sirens-hacker/136872/;https://dallaspolice.net/;Y;Go Daddy;sha256;low;4;2017
Cockrell Hill Police;Safety;Texas;Ransomware;1/25/2017;"WFAA 8January 25th, 2017Lost video evidence and a cache of digital documents No files/confidentials were breached to an outside source Malware originated from Russia or Ukraine Demanded $4000 in bitcoin Department did not pay ransom after consulting with the FBI Read More";http://www.wfaa.com/news/local/cockrell-hill-police-lose-years-worth-of-evidence-in-ransom-hacking/392673232;http://cityofcockrellhill.us/2156/Police;NA;NA;sha256;low;1;2017
Palm Hill Police Department;Safety;Texas;Ransomware;9/21/2016;"KRGVSeptember 21st, 2016Years’ worth of data on the line $250 ransom Moved files before permanently losing dataRead More";http://www.krgv.com/story/33153212/palmhurst-police-department-avoids-data-loss;https://www.nrhtx.com/270/Police;Y;Sectigo;sha256;med;9;2016
"Cyber Criminals Executed Attack on Bristol Police Computers, Bristol County";Safety;Virginia;"Unknown,"" Ransomware";7/27/2021;"Bristol Herald CourierJuly 27th"","" 2021""""""""Cyber criminals conducted a ransomware attack on the Bristol Virginia Police Department’s computers earlier this year and now appear to be trying to sell information on the dark web.""""""""”Criminals are able to externally gain control of computers via the internet and either access information to resell or demand ransom payments for owners to regain access. Eads said the city refused to pay any ransom.""""""""""""""""the Bristol Herald Courier obtained a screenshot of the apparent dark web listing"", which appears to show the information is available for $30,""000.""""""""” the seller claims to have extracted 2 terabytes of data"", including personal data of employees, data about citizens, offenses, prosecutions, personal data of citizens, mail archives, video camera recordings, scans of documents, annual reports,"" budget reports and other information.""""""""Read More""""";"https://heraldcourier.com/news/cyber-criminals-executed-attack-on-bristol-police-computers/article_c69c24f2-e320-5d74-9134-52129a50f447.html/""";https://www.bcso-ma.us/;Y;R3;sha256;low;7;2021
Petersburg 911 Emergency Communications Center (Petersburg City County) & City of Richmond 911 Center (Henrico County);Safety;Virginia;"Hacking, TDoS/DDoS";11/7/2018;"WTVRNovember 7th, 2018Petersburg Bureau of Police 911 Emergency Communications Center experienced influx of calls from states along the southern part of the countryInflux due to callers from those jurisdictions calling (804) 777-9815 which was linked to VA 911 by a hackerPolice Captain urging public not to use that numberThe national incident is also affecting City of Richmond’s 911 CenterRead More";https://wtvr.com/2018/11/07/petersburg-911-communications-center-receiving-influx-of-calls-after-hacking/;https://henrico.us/;Y;Go Daddy;sha256;med;11;2018
Malware Shuts Down VA State Police;Safety;Virginia;Hack;4/26/2017;"The Virginian PilotApril 26th, 2017Agency shut down email service Malware affects ability to update Sex Offender & Crime Against Children web pages Daily field operations not affected Read More";https://pilotonline.com/news/local/malware-causes-virginia-state-police-to-shutdown-email-service/article_195797af-a41c-5ec7-96f4-282b5f706ee6.html;https://vsp.virginia.gov/;Y;GeoTrust;sha256;med;4;2017
"Okanogan County Government, Okanogan County";Safety;Washington;"Unknown, Malware";1/19/2021;"Omak ChronicleJanuary 19th, 2021The Okanogan County Government has experienced a cyber attack also affecting Public HealthServers are rendered offline as the attack affects services provided and phone systemsA team is working with professionals to restore systems, there is not a projected date for repairsRead More";https://www.omakchronicle.com/free/okanogan-county-experiences-computer-cyber-attack/article_ee414114-59f2-11eb-ba30-17a75dc34dcf.html;https://www.okanogancounty.org/;Y;R3;sha256;med;1;2021
"Jefferson County Emergency Alert System, Jefferson County";Safety;Washington;"Hacking, Other";2/21/2020;"KOMO News February 21st, 2020 Bad actors sent unauthorized emergency broadcast County law enforcement assisted with investigation Officials believed that access was gained from outside source Read More";"https://komonews.com/news/local/viewers-sent-apparent-hacked-emergency-broadcast-message-in-jefferson-county,";https://www.jeffco.us/473/Emergency-Notifications;Y;Cloudfare;sha256;med;2;2020
"DC Police Department, District of Columbia";Safety;Washington DC;"Unknown, Ransomware";4/27/2021;"NPRApril 27th, 2021Babuk ransomware threat actors claim to have infected DC Police systemsScreenshots of alleged arrest records were posted on the Babuk siteNo word as to whether or not there has, or will be, a ransom payment madeRead More";https://www.npr.org/2021/04/27/991116344/d-c-police-department-victim-of-apparent-ransomware-attack;https://mpdc.dc.gov/;Y;DigiCert;sha256;low;4;2021
